Systematic_name	Common_name	GCF_000146045.2_R64_genomic_ID	SGD_ID
YJL194W	CDC6	ID=cds2874	SGD:S000003730
YJL193W	NA	ID=cds2875	SGD:S000003729
YJL192C	SOP4	ID=cds2876	SGD:S000003728
YJL191W	RPS14B	ID=cds2877	SGD:S000003727
YJL190C	RPS22A	ID=cds2878	SGD:S000003726
YJL189W	RPL39	ID=cds2879	SGD:S000003725
YJL187C	SWE1	ID=cds2880	SGD:S000003723
YJL186W	MNN5	ID=cds2881	SGD:S000003722
YJL185C	ATG36	ID=cds2882	SGD:S000003721
YJL184W	GON7	ID=cds2883	SGD:S000003720
YJL183W	MNN11	ID=cds2884	SGD:S000003719
YJL181W	RBH1	ID=cds2885	SGD:S000003717
YJL180C	ATP12	ID=cds2886	SGD:S000003716
YJL179W	PFD1	ID=cds2887	SGD:S000003715
YJL178C	ATG27	ID=cds2888	SGD:S000003714
YJL177W	RPL17B	ID=cds2889	SGD:S000003713
YJL176C	SWI3	ID=cds2890	SGD:S000003712
YJL174W	KRE9	ID=cds2891	SGD:S000003710
YJL173C	RFA3	ID=cds2892	SGD:S000003709
YJL172W	CPS1	ID=cds2893	SGD:S000003708
YJL171C	TOH1	ID=cds2894	SGD:S000003707
YJL170C	ASG7	ID=cds2895	SGD:S000003706
YJL168C	SET2	ID=cds2896	SGD:S000003704
YJL167W	ERG20	ID=cds2897	SGD:S000003703
YJL166W	QCR8	ID=cds2898	SGD:S000003702
YJL165C	HAL5	ID=cds2899	SGD:S000003701
YJL164C	TPK1	ID=cds2900	SGD:S000003700
YJL163C	NA	ID=cds2901	SGD:S000003699
YJL162C	JJJ2	ID=cds2902	SGD:S000003698
YJL161W	FMP33	ID=cds2903	SGD:S000003697
YJL160C	PIR5	ID=cds2904	SGD:S000003696
YJL159W	HSP150	ID=cds2905	SGD:S000003695
YJL158C	CIS3	ID=cds2906	SGD:S000003694
YJL157C	FAR1	ID=cds2907	SGD:S000003693
YJL156C	SSY5	ID=cds2908	SGD:S000003692
YJL155C	FBP26	ID=cds2909	SGD:S000003691
YJL154C	VPS35	ID=cds2910	SGD:S000003690
YJL153C	INO1	ID=cds2911	SGD:S000003689
YJL151C	SNA3	ID=cds2912	SGD:S000003687
YJL149W	DAS1	ID=cds2913	SGD:S000003685
YJL148W	RPA34	ID=cds2914	SGD:S000003684
YJL147C	MRX5	ID=cds2915	SGD:S000003683
YJL146W	IDS2	ID=cds2916	SGD:S000003682
YJL145W	SFH5	ID=cds2917	SGD:S000003681
YJL144W	NA	ID=cds2918	SGD:S000003680
YJL143W	TIM17	ID=cds2919	SGD:S000003679
YJL141C	YAK1	ID=cds2920	SGD:S000003677
YJL140W	RPB4	ID=cds2921	SGD:S000003676
YJL139C	YUR1	ID=cds2922	SGD:S000003675
YJL138C	TIF2	ID=cds2923	SGD:S000003674
YJL137C	GLG2	ID=cds2924	SGD:S000003673
YJL136W-A	NA	ID=cds2925	SGD:S000028806
YJL136C	RPS21B	ID=cds2926	SGD:S000003672
YJL134W	LCB3	ID=cds2927	SGD:S000003670
YJL133C-A	NA	ID=cds2928	SGD:S000028805
YJL133W	MRS3	ID=cds2929	SGD:S000003669
YJL132W	NA	ID=cds2930	SGD:S000003668
YJL131C	AIM23	ID=cds2931	SGD:S000003667
YJL130C	URA2	ID=cds2932	SGD:S000003666
YJL129C	TRK1	ID=cds2933	SGD:S000003665
YJL128C	PBS2	ID=cds2934	SGD:S000003664
YJL127C-B	NA	ID=cds2935	SGD:S000028522
YJL127C	SPT10	ID=cds2936	SGD:S000003663
YJL126W	NIT2	ID=cds2937	SGD:S000003662
YJL125C	GCD14	ID=cds2938	SGD:S000003661
YJL124C	LSM1	ID=cds2939	SGD:S000003660
YJL123C	MTC1	ID=cds2940	SGD:S000003659
YJL122W	ALB1	ID=cds2941	SGD:S000003658
YJL121C	RPE1	ID=cds2942	SGD:S000003657
YJL118W	NA	ID=cds2943	SGD:S000003654
YJL117W	PHO86	ID=cds2944	SGD:S000003653
YJL116C	NCA3	ID=cds2945	SGD:S000003652
YJL115W	ASF1	ID=cds2946	SGD:S000003651
YJL112W	MDV1	ID=cds2949	SGD:S000003648
YJL111W	CCT7	ID=cds2950	SGD:S000003647
YJL110C	GZF3	ID=cds2951	SGD:S000003646
YJL109C	UTP10	ID=cds2952	SGD:S000003645
YJL108C	PRM10	ID=cds2953	SGD:S000003644
YJL107C	NA	ID=cds2954	SGD:S000003643
YJL106W	IME2	ID=cds2955	SGD:S000003642
YJL105W	SET4	ID=cds2956	SGD:S000003641
YJL104W	PAM16	ID=cds2957	SGD:S000003640
YJL103C	GSM1	ID=cds2958	SGD:S000003639
YJL102W	MEF2	ID=cds2959	SGD:S000003638
YJL101C	GSH1	ID=cds2960	SGD:S000003637
YJL100W	LSB6	ID=cds2961	SGD:S000003636
YJL099W	CHS6	ID=cds2962	SGD:S000003635
YJL098W	SAP185	ID=cds2963	SGD:S000003634
YJL097W	PHS1	ID=cds2964	SGD:S000003633
YJL096W	MRPL49	ID=cds2965	SGD:S000003632
YJL095W	BCK1	ID=cds2966	SGD:S000003631
YJL094C	KHA1	ID=cds2967	SGD:S000003630
YJL093C	TOK1	ID=cds2968	SGD:S000003629
YJL092W	SRS2	ID=cds2969	SGD:S000003628
YJL091C	GWT1	ID=cds2970	SGD:S000003627
YJL090C	DPB11	ID=cds2971	SGD:S000003626
YJL089W	SIP4	ID=cds2972	SGD:S000003625
YJL088W	ARG3	ID=cds2973	SGD:S000003624
YJL087C	TRL1	ID=cds2974	SGD:S000003623
YJL085W	EXO70	ID=cds2975	SGD:S000003621
YJL084C	ALY2	ID=cds2976	SGD:S000003620
YJL083W	TAX4	ID=cds2977	SGD:S000003619
YJL082W	IML2	ID=cds2978	SGD:S000003618
YJL081C	ARP4	ID=cds2979	SGD:S000003617
YJL080C	SCP160	ID=cds2980	SGD:S000003616
YJL079C	PRY1	ID=cds2981	SGD:S000003615
YJL078C	PRY3	ID=cds2982	SGD:S000003614
YJL077W-B	NA	ID=cds2983	SGD:S000028662
YJL077W-A	NA	ID=cds2985	SGD:S000028661
YJL077C	ICS3	ID=cds2984	SGD:S000003613
YJL076W	NET1	ID=cds2986	SGD:S000003612
YJL074C	SMC3	ID=cds2987	SGD:S000003610
YJL073W	JEM1	ID=cds2988	SGD:S000003609
YJL072C	PSF2	ID=cds2989	SGD:S000003608
YJL071W	ARG2	ID=cds2990	SGD:S000003607
YJL070C	NA	ID=cds2991	SGD:S000003606
YJL069C	UTP18	ID=cds2992	SGD:S000003605
YJL068C	NA	ID=cds2993	SGD:S000003604
YJL066C	MPM1	ID=cds2994	SGD:S000003602
YJL065C	DLS1	ID=cds2995	SGD:S000003601
YJL063C	MRPL8	ID=cds2996	SGD:S000003599
YJL062W-A	COA3	ID=cds2997	SGD:S000007611
YJL062W	LAS21	ID=cds2998	SGD:S000003598
YJL061W	NUP82	ID=cds2999	SGD:S000003597
YJL060W	BNA3	ID=cds3000	SGD:S000003596
YJL059W	YHC3	ID=cds3001	SGD:S000003595
YJL058C	BIT61	ID=cds3002	SGD:S000003594
YJL057C	IKS1	ID=cds3003	SGD:S000003593
YJL056C	ZAP1	ID=cds3004	SGD:S000003592
YJL055W	NA	ID=cds3005	SGD:S000003591
YJL054W	TIM54	ID=cds3006	SGD:S000003590
YJL053W	PEP8	ID=cds3007	SGD:S000003589
YJL052C-A	NA	ID=cds3008	SGD:S000007610
YJL052W	TDH1	ID=cds3009	SGD:S000003588
YJL051W	IRC8	ID=cds3010	SGD:S000003587
YJL050W	MTR4	ID=cds3011	SGD:S000003586
YJL049W	CHM7	ID=cds3012	SGD:S000003585
YJL048C	UBX6	ID=cds3013	SGD:S000003584
YJL047C-A	NA	ID=cds3014	SGD:S000028804
YJL047C	RTT101	ID=cds3015	SGD:S000003583
YJL046W	AIM22	ID=cds3016	SGD:S000003582
YJL045W	NA	ID=cds3017	SGD:S000003581
YJL044C	GYP6	ID=cds3018	SGD:S000003580
YJL043W	NA	ID=cds3019	SGD:S000003579
YJL042W	MHP1	ID=cds3020	SGD:S000003578
YJL041W	NSP1	ID=cds3021	SGD:S000003577
YJL039C	NUP192	ID=cds3022	SGD:S000003576
YJL038C	LOH1	ID=cds3023	SGD:S000003575
YJL037W	IRC18	ID=cds3024	SGD:S000003574
YJL036W	SNX4	ID=cds3025	SGD:S000003573
YJL035C	TAD2	ID=cds3026	SGD:S000003572
YJL034W	KAR2	ID=cds3027	SGD:S000003571
YJL033W	HCA4	ID=cds3028	SGD:S000003570
YJL031C	BET4	ID=cds3029	SGD:S000003568
YJL030W	MAD2	ID=cds3030	SGD:S000003567
YJL029C	VPS53	ID=cds3031	SGD:S000003566
YJL028W	NA	ID=cds3032	SGD:S000003565
YJL027C	NA	ID=cds3033	SGD:S000003564
YJL026W	RNR2	ID=cds3034	SGD:S000003563
YJL025W	RRN7	ID=cds3035	SGD:S000003562
YJL024C	APS3	ID=cds3036	SGD:S000003561
YJL023C	PET130	ID=cds3037	SGD:S000003560
YJL020C	BBC1	ID=cds3038	SGD:S000003557
YJL019W	MPS3	ID=cds3039	SGD:S000003556
YJL016W	TPH3	ID=cds3040	SGD:S000003553
YJL014W	CCT3	ID=cds3041	SGD:S000003551
YJL013C	MAD3	ID=cds3042	SGD:S000003550
YJL012C	VTC4	ID=cds3043	SGD:S000003549
YJL011C	RPC17	ID=cds3044	SGD:S000003548
YJL010C	NOP9	ID=cds3045	SGD:S000003547
YJL008C	CCT8	ID=cds3046	SGD:S000003545
YJL007C	NA	NA	NA
YJL006C	CTK2	ID=cds3047	SGD:S000003543
YJL005W	CYR1	ID=cds3048	SGD:S000003542
YJL004C	SYS1	ID=cds3049	SGD:S000003541
YJL003W	COX16	ID=cds3050	SGD:S000003540
YJL002C	OST1	ID=cds3051	SGD:S000003539
YJL001W	PRE3	ID=cds3052	SGD:S000003538
YJR001W	AVT1	ID=cds3053	SGD:S000003761
YJR002W	MPP10	ID=cds3054	SGD:S000003762
YJR003C	MRX12	ID=cds3055	SGD:S000003763
YJR004C	SAG1	ID=cds3056	SGD:S000003764
YJR005W	APL1	ID=cds3057	SGD:S000003765
YJR005C-A	LSO1	ID=cds3058	SGD:S000028523
YJR006W	POL31	ID=cds3059	SGD:S000003766
YJR007W	SUI2	ID=cds3060	SGD:S000003767
YJR008W	MHO1	ID=cds3061	SGD:S000003768
YJR009C	TDH2	ID=cds3062	SGD:S000003769
YJR010W	MET3	ID=cds3063	SGD:S000003771
YJR010C-A	SPC1	ID=cds3064	SGD:S000003770
YJR011C	NA	ID=cds3065	SGD:S000003772
YJR013W	GPI14	ID=cds3067	SGD:S000003774
YJR012C	NA	ID=cds3066	SGD:S000003773
